Identifier,log(I),rI,log(e),pI,Mr (kDa),Description
XP_010064035.1,5.24,166,-317.9,8.93,21.6,
XP_010056673.1,4.88,81,-229.2,8.8,37,
XP_010028333.1,4.55,42,-213.9,5.57,34.9,
XP_010061172.1,4.43,30,-188.8,6.88,57.2,
XP_010056683.1,4.7,60,-161.6,8.94,37,
XP_010045401.1,4.33,29,-159.9,9.45,34.5,
sp|K2C1_HUMAN|,4.48,28,-156.2,8.16,65.8," Keratin, type II cytoskeletal 1; 67 kDa cytokeratin; Cytokeratin-1; CK-1; Hair alpha protein; Keratin-1; K1; Type-II keratin Kb1; "
XP_010031113.1,4.54,38,-149.6,9.01,35.3,
XP_010056661.1,4.69,53,-144.1,7.73,39.6,
ADO23597.1,4.49,40,-124.9,5.29,53.7,no description available
XP_018718395.1,4.25,27,-122.4,6.52,29.3,
XP_010045399.1,4.26,25,-118.7,9.51,34.6,
XP_010043318.1,4.34,23,-114.4,9.87,15,
XP_010033106.1,4.24,18,-113.2,6.84,47.7,
ADO23602.1,4.25,22,-112.6,8.65,35.2,no description available
XP_010061201.1,4.2,19,-107.5,7.09,48.2,
XP_010032358.1,4.15,17,-99.5,9.37,42.4,
XP_010042031.1,4.45,30,-99.1,5.26,38.3,
XP_010032381.1,4.21,16,-98.9,5.52,51.8,
XP_010054080.1,4.26,18,-97.2,8.29,28,
XP_018727808.1,4.2,18,-91.5,8.52,24.2,
XP_010030704.1,4.15,19,-87.2,5.45,45,
ADO23598.1,4.32,20,-82.2,6.04,52.7,no description available
XP_010056019.1,4.18,15,-79,6.31,16.7,
XP_010024778.1,4.01,12,-78.8,9.17,84.9,
XP_010024640.1,4.11,14,-76.3,8.4,24.1,
XP_010036983.1,4.03,14,-75.7,5.43,39.4,
ADO23578.1,4,13,-74.6,5.15,55.5,no description available
XP_010066256.1,4.51,35,-74.5,8.7,18,
XP_010030714.1,4.12,18,-72.4,5.46,44.9,
XP_010062276.1,3.93,12,-68.5,5.78,39.2,
XP_010032637.1,4.22,28,-67.5,9.1,20.2,
XP_010056879.1,3.95,14,-66.7,5.29,28.2,
XP_010060801.1,3.96,9,-65,9.24,40.7,
XP_010060861.1,3.84,9,-59.4,8.74,50.1,
sp|OVAL_CHICK|,3.97,9,-56.5,5.19,42.9,
XP_010030046.1,3.98,9,-55.7,9.07,32.4,
XP_010063132.2,4,12,-54.9,6.77,56.8,
XP_010066951.1,3.8,8,-54.5,7.02,29.6,
XP_010066154.1,4.1,11,-54.3,7.81,16.8,
sp|K1C10_HUMAN|,4.08,13,-53.2,5.13,59.5," Keratin, type I cytoskeletal 10; Cytokeratin-10; CK-10; Keratin-10; K10; "
XP_010045302.1,3.96,10,-53.1,6.09,22.3,
