Identifier,log(I),rI,log(e),pI,Mr (kDa),Description
XP_010064035.1,5.13,140,-340.2,8.93,21.6,
XP_010056661.1,4.72,58,-195,7.73,39.6,
XP_010049430.1,4.75,71,-193.4,6.02,21.7,
XP_010054080.1,4.44,28,-181.1,8.29,28,
XP_010038336.1,4.4,32,-175.5,9.24,40.7,
XP_010036821.1,4.55,51,-163.1,8.09,29.7,
XP_010057806.1,4.48,35,-162.8,5.79,39.8,
XP_010029195.1,4.42,33,-162.2,9.19,34,
KCW82145.1,4.66,70,-159.1,5.68,19.8,no description available
ADO23597.1,4.57,43,-149.4,5.29,53.7,no description available
XP_010056879.1,4.29,23,-146.8,5.29,28.2,
XP_018726936.1,4.54,52,-141.9,5.88,21.7,
XP_018728402.1,4.12,14,-133.1,5.29,28.2,
XP_010056683.1,4.44,33,-132.6,8.94,37,
XP_010029196.2,4.33,29,-131.2,9.27,28.4,
XP_010052095.1,4.15,16,-131.1,5.28,28,
XP_010063732.1,4.26,23,-126.9,5.73,30.3,
sp|K2C1_HUMAN|,4.41,26,-125.5,8.16,65.8," Keratin, type II cytoskeletal 1; 67 kDa cytokeratin; Cytokeratin-1; CK-1; Hair alpha protein; Keratin-1; K1; Type-II keratin Kb1; "
sp|K1C10_HUMAN|,4.49,25,-123.3,5.13,59.5," Keratin, type I cytoskeletal 10; Cytokeratin-10; CK-10; Keratin-10; K10; "
XP_010056019.1,4.64,44,-123.1,6.31,16.7,
XP_010054791.1,4.18,16,-110.9,8.36,84.8,
XP_010056673.1,4.57,38,-110.7,8.8,37,
XP_010024736.1,4.39,30,-109.5,5.49,17.4,
KCW48473.1,4.4,34,-105.9,8.1,29.5,
XP_010024738.1,4.17,17,-105.7,4.99,17.6,
XP_010028113.1,4.02,13,-104.6,9.17,35.8,
XP_010060861.1,3.9,14,-97.9,8.74,50.1,
sp|ALBU_BOVIN|,4.59,44,-97.7,5.82,69.2, Serum albumin; BSA; Bos d 6; Flags: Precursor; 
XP_010054946.1,4.12,13,-96.2,6.97,33.8,
XP_010065527.1,4.17,17,-95.2,6.23,84.2,
sp|K1C9_HUMAN|,4.4,20,-94.8,5.19,62.1," Keratin, type I cytoskeletal 9; Cytokeratin-9; CK-9; Keratin-9; K9; "
XP_010033106.1,4.62,31,-91.4,6.84,47.7,
XP_010061816.1,4.11,14,-91.2,8.31,85.7,
XP_010033105.1,4.57,28,-89.9,6.08,51.3,
XP_010055403.1,4.1,14,-89.9,6.19,33.8,
XP_010045878.1,3.88,9,-88.9,5.46,28.6,
XP_010043318.1,4.13,17,-88.4,9.87,15,
XP_010042031.1,4.05,13,-85.1,5.26,38.3,
XP_010037305.1,3.93,11,-82.4,7.67,30,
XP_010066256.1,4.3,22,-81.8,8.7,18,
XP_010028333.1,4.08,16,-81.7,5.57,34.9,
XP_010060801.1,4.06,14,-81.6,9.24,40.7,
XP_010070634.1,3.77,10,-80.3,6.76,79.7,
XP_010030977.1,4.18,15,-78.6,5.16,71.1,
XP_010037848.1,4.16,18,-78.4,11.48,11.4,
XP_010041840.1,4.25,21,-77.7,5.86,39.4,
sp|TRYP_PIG|,4.5,36,-75.7,6.85,24.4, Trypsin; EC 3.4.21.4; Flags: Precursor; 
XP_010067611.1,3.94,8,-74.2,7.83,25.6,
XP_010028899.1,4.01,13,-74,8.45,42.8,
XP_010028214.1,3.9,10,-72.7,9.11,55.3,
XP_010035276.1,4.1,18,-72.3,9.68,24.5,
XP_010033217.1,3.95,12,-71.9,8.78,29.3,
XP_010025353.1,4,13,-71.4,7.02,36.6,
XP_010066667.1,3.99,13,-71.2,6.3,60.8,
XP_010032381.1,4.53,24,-70.3,5.52,51.8,
XP_010050038.1,4.1,11,-68.7,5.32,47.7,
XP_010032637.1,4.13,25,-68.6,9.1,20.2,
XP_010047451.1,3.78,7,-68.6,9.68,23.3,
XP_018726917.1,3.86,10,-68,8.89,26.8,
XP_010035406.1,4.42,20,-66.6,5.65,43.1,
XP_010029375.1,4.06,13,-66.4,8.48,29.4,
